#,รหัสโรค,รายละเอียด,เหตุผล,ICD-10-WHO,ICD-10-TM,ICD-10-TMD
296,A361,Nasopharyngeal diphtheria,T,Y,Y,N
297,A362,Laryngeal diphtheria,T,Y,Y,N
298,A363,Cutaneous diphtheria,T,Y,Y,N
299,A368,Other diphtheria,T,Y,Y,N
300,A369,"Diphtheria, unspecified",T,Y,Y,N
301,A37,Whooping cough,F,Y,N,N
302,A370,Whooping cough due to Bordetella pertussis,T,Y,Y,N
303,A371,Whooping cough due to Bordetella parapertussis,T,Y,Y,N
304,A378,Whooping cough due to other Bordetella species,T,Y,Y,N
305,A379,"Whooping cough, unspecified",T,Y,Y,N
306,A38,Scarlet fever,T,Y,Y,N
307,A39,Meningococcal infection,F,Y,N,N
308,A390,Meningococcal meningitis (G01*),T,Y,Y,N
309,A391,Waterhouse-Friderichsen syndrome (E35.1*),T,Y,Y,N
310,A392,Acute meningococcaemia,T,Y,Y,N
311,A393,Chronic meningococcaemia,T,Y,Y,N
312,A394,"Meningococcaemia, unspecified",T,Y,Y,N
313,A395,Meningococcal heart disease,T,Y,Y,N
314,A398,Other meningococcal infections,T,Y,Y,N
315,A399,"Meningococcal infection, unspecified",T,Y,Y,N
316,A40,Streptococcal septicaemia,F,Y,N,N
317,A400,"Septicaemia due to Streptococcus, group A",T,Y,Y,N
318,A401,"Septicaemia due to Streptococcus, group B",T,Y,Y,N
319,A402,"Septicaemia due to Streptococcus, group D",T,Y,Y,N
320,A403,Septicaemia due to Streptococcus pneumoniae,T,Y,Y,N
321,A408,Other streptococcal septicaemia,T,Y,Y,N
322,A409,"Streptococcal septicaemia, unspecified",T,Y,Y,N
323,A41,Other septicaemia,F,Y,N,N
324,A410,Septicaemia due to Staphylococcus aureus,T,Y,Y,N
325,A411,Septicaemia due to other specified staphylococcus,T,Y,Y,N
326,A412,Septicaemia due to unspecified staphylococcus,T,Y,Y,N
327,A413,Septicaemia due to Haemophilus influenzae,T,Y,Y,N
328,A414,Septicaemia due to anaerobes,T,Y,Y,N
329,A415,Septicaemia due to other gram-negative organisms,T,Y,Y,N
330,A418,Other specified septicaemia,T,Y,Y,N
331,A419,"Septicaemia, unspecified",T,Y,Y,N
332,A42,Actinomycosis,F,Y,N,N
333,A420,Pulmonary actinomycosis,T,Y,Y,N
334,A421,Abdominal actinomycosis,T,Y,Y,N
335,A422,Cervicofacial actinomycosis,T,Y,Y,N
336,A427,Actinomycotic septicaemia,T,Y,Y,N
337,A428,Other forms of actinomycosis,T,Y,Y,N
338,A429,"Actinomycosis, unspecified",T,Y,Y,N
339,A43,Nocardiosis,F,Y,N,N
340,A430,Pulmonary nocardiosis,T,Y,Y,N
341,A431,Cutaneous nocardiosis,T,Y,Y,N
342,A438,Other forms of nocardiosis,T,Y,Y,N
343,A439,"Nocardiosis, unspecified",T,Y,Y,N
344,A44,Bartonellosis,F,Y,N,N
345,A440,Systemic bartonellosis,T,Y,Y,N
346,A441,Cutaneous and mucocutaneous bartonellosis,T,Y,Y,N
347,A448,Other forms of bartonellosis,T,Y,Y,N
348,A449,"Bartonellosis, unspecified",T,Y,Y,N
349,A46,Erysipelas,T,Y,Y,N
350,A48,"Other bacterial diseases, not elsewhere classified",F,Y,N,N
351,A480,Gas gangrene,T,Y,Y,N
352,A481,Legionnaires' disease,T,Y,Y,N
353,A482,Nonpneumonic Legionnaires' disease [Pontiac fever],T,Y,Y,N
354,A483,Toxic shock syndrome,T,Y,Y,N
355,A484,Brazilian purpuric fever,T,Y,Y,N
356,A488,Other specified bacterial diseases,T,Y,Y,N
357,A49,Bacterial infection of unspecified site,F,Y,N,N
358,A490,"Staphylococcal infection, unspecified",T,Y,Y,N
359,A491,"Streptococcal infection, unspecified",T,Y,Y,N
360,A492,"Haemophilus influenzae infection, unspecified",T,Y,Y,N
361,A493,"Mycoplasma infection, unspecified",T,Y,Y,N
362,A498,Other bacterial infections of unspecified site,T,Y,Y,N
363,A499,"Bacterial infection, unspecified",T,Y,Y,N
364,A50,Congenital syphilis,F,Y,N,N
365,A500,"Early congenital syphilis, symptomatic",T,Y,Y,N
366,A501,"Early congenital syphilis, latent",T,Y,Y,N
367,A502,"Early congenital syphilis, unspecified",T,Y,Y,N
368,A503,Late congenital syphilitic oculopathy,T,Y,Y,N
369,A504,Late congenital neurosyphilis [juvenile neurosyphilis],T,Y,Y,N
370,A505,"Other late congenital syphilis, symptomatic",T,Y,Y,N
371,A506,"Late congenital syphilis, latent",T,Y,Y,N
372,A507,"Late congenital syphilis, unspecified",T,Y,Y,N
373,A509,"Congenital syphilis, unspecified",T,Y,Y,N
374,A51,Early syphilis,F,Y,N,N
375,A510,Primary genital syphilis,T,Y,Y,N
376,A511,Primary anal syphilis,T,Y,Y,N
377,A512,Primary syphilis of other sites,T,Y,Y,N
378,A513,Secondary syphilis of skin and mucous membranes,T,Y,Y,N
379,A514,Other secondary syphilis,T,Y,Y,N
380,A515,"Early syphilis, latent",T,Y,Y,N
381,A519,"Early syphilis, unspecified",T,Y,Y,N
382,A52,Late syphilis,F,Y,N,N
383,A520,Cardiovascular syphilis,T,Y,Y,N
384,A521,Symptomatic neurosyphilis,T,Y,Y,N
385,A522,Asymptomatic neurosyphilis,T,Y,Y,N
386,A523,"Neurosyphilis, unspecified",T,Y,Y,N
387,A527,Other symptomatic late syphilis,T,Y,Y,N
388,A528,"Late syphilis, latent",T,Y,Y,N
389,A529,"Late syphilis, unspecified",T,Y,Y,N
390,A53,Other and unspecified syphilis,F,Y,N,N
391,A530,"Latent syphilis, unspecified as early or late",T,Y,Y,N
392,A539,"Syphilis, unspecified",T,Y,Y,N
393,A54,Gonococcal infection,F,Y,N,N
394,A540,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,T,Y,Y,N
395,A541,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,T,Y,Y,N
396,A542,Gonococcal pelviperitonitis and other gonococcal genitourinary infection,T,Y,Y,N
397,A543,Gonococcal infection of eye,T,Y,Y,N
398,A544,Gonococcal infection of musculoskeletal system,T,Y,Y,N
399,A545,Gonococcal pharyngitis,T,Y,Y,N
400,A546,Gonococcal infection of anus and rectum,T,Y,Y,N
401,A548,Other gonococcal infections,T,Y,Y,N
402,A549,"Gonococcal infection, unspecified",T,Y,Y,N
403,A55,Chlamydial lymphogranuloma (venereum),T,Y,Y,N
404,A56,Other sexually transmitted chlamydial diseases,F,Y,N,N
405,A560,Chlamydial infection of lower genitourinary tract,T,Y,Y,N
406,A561,Chlamydial infection of pelviperitoneum and other genitourinary organs,T,Y,Y,N
407,A562,"Chlamydial infection of genitourinary tract, unspecified",T,Y,Y,N
408,A563,Chlamydial infection of anus and rectum,T,Y,Y,N
409,A564,Chlamydial infection of pharynx,T,Y,Y,N
410,A568,Sexually transmitted chlamydial infection of other sites,T,Y,Y,N
411,A57,Chancroid,T,Y,Y,N
412,A58,Granuloma inguinale,T,Y,Y,N
413,A59,Trichomoniasis,F,Y,N,N
414,A590,Urogenital trichomoniasis,T,Y,Y,N
415,A598,Trichomoniasis of other sites,T,Y,Y,N
416,A599,"Trichomoniasis, unspecified",T,Y,Y,N
417,A60,Anogenital herpesviral [herpes simplex] infections,F,Y,N,N
418,A600,Herpesviral infection of genitalia and urogenital tract,T,Y,Y,N
419,A601,Herpesviral infection of perianal skin and rectum,T,Y,Y,N
420,A609,"Anogenital herpesviral infection, unspecified",T,Y,Y,N
421,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified",F,Y,N,N
422,A630,Anogenital (venereal) warts,T,Y,Y,N
423,A638,Other specified predominantly sexually transmitted diseases,T,Y,Y,N
424,A64,Unspecified sexually transmitted disease,T,Y,Y,N
425,A65,Nonvenereal syphilis,T,Y,Y,N
426,A66,Yaws,F,Y,N,N
427,A660,Initial lesions of yaws,T,Y,Y,N
428,A661,Multiple papillomata and wet crab yaws,T,Y,Y,N
429,A662,Other early skin lesions of yaws,T,Y,Y,N
430,A663,Hyperkeratosis of yaws,T,Y,Y,N
431,A664,Gummata and ulcers of yaws,T,Y,Y,N
432,A665,Gangosa,T,Y,Y,N
433,A666,Bone and joint lesions of yaws,T,Y,Y,N
434,A667,Other manifestations of yaws,T,Y,Y,N
435,A668,Latent yaws,T,Y,Y,N
436,A669,"Yaws, unspecified",T,Y,Y,N
437,A67,Pinta [carate],F,Y,N,N
438,A670,Primary lesions of pinta,T,Y,Y,N
439,A671,Intermediate lesions of pinta,T,Y,Y,N
440,A672,Late lesions of pinta,T,Y,Y,N
441,A673,Mixed lesions of pinta,T,Y,Y,N
442,A679,"Pinta, unspecified",T,Y,Y,N
443,A68,Relapsing fevers,F,Y,N,N
444,A680,Louse-borne relapsing fever,T,Y,Y,N
445,A681,Tick-borne relapsing fever,T,Y,Y,N
446,A689,"Relapsing fever, unspecified",T,Y,Y,N
447,A69,Other spirochaetal infections,F,Y,N,N
448,A690,Necrotizing ulcerative stomatitis,T,Y,Y,N
449,A691,Other Vincent's infections,T,Y,Y,N
450,A692,Lyme disease,T,Y,Y,N
451,A698,Other specified spirochaetal infections,T,Y,Y,N
452,A699,"Spirochaetal infection, unspecified",T,Y,Y,N
453,A70,Chlamydia psittaci infection,T,Y,Y,N
454,A71,Trachoma,F,Y,N,N
455,A710,Initial stage of trachoma,T,Y,Y,N
456,A711,Active stage of trachoma,T,Y,Y,N
457,A719,"Trachoma, unspecified",T,Y,Y,N
458,A74,Other diseases caused by chlamydiae,F,Y,N,N
459,A740,Chlamydial conjunctivitis (H13.1*),T,Y,Y,N
460,A748,Other chlamydial diseases,T,Y,Y,N
461,A749,"Chlamydial infection, unspecified",T,Y,Y,N
462,A75,Typhus fever,F,Y,N,N
463,A750,Epidemic louse-borne typhus fever due to Rickettsia prowazekii,T,Y,Y,N
464,A751,Recrudescent typhus [Brill's disease],T,Y,Y,N
465,A752,Typhus fever due to Rickettsia typhi,T,Y,Y,N
466,A753,Typhus fever due to Rickettsia tsutsugamushi,T,Y,Y,N
